Coherence materiel technique;ID;Objet;Materiaux;outils;Score
;1;1;1;1;0
;2;1;1;2;0
;3;1;1;3;0
;4;1;1;4;0
;5;1;1;5;0
;6;1;1;6;0
;7;1;1;7;0
;8;1;1;8;0
;9;1;1;9;0
;10;1;1;10;0
;11;1;1;11;0
;12;1;1;12;0
;13;1;1;13;100
;14;1;1;14;0
;15;1;1;15;0
;16;1;1;16;100
;17;1;1;17;100
;18;1;1;18;0
;19;1;1;19;0
;20;1;1;20;0
;21;1;1;21;0
;22;1;1;22;0
;23;1;1;23;0
;24;1;2;1;0
;25;1;2;2;50
;26;1;2;3;50
;27;1;2;4;0
;28;1;2;5;0
;29;1;2;6;0
;30;1;2;7;0
;31;1;2;8;50
;32;1;2;9;20
;33;1;2;10;0
;34;1;2;11;0
;35;1;2;12;0
;36;1;2;13;100
;37;1;2;14;100
;38;1;2;15;100
;39;1;2;16;20
;40;1;2;17;0
;41;1;2;18;0
;42;1;2;19;0
;43;1;2;20;0
;44;1;2;21;20
;45;1;2;22;0
;46;1;2;23;20
;47;1;3;1;0
;48;1;3;2;0
;49;1;3;3;0
;50;1;3;4;0
;51;1;3;5;0
;52;1;3;6;0
;53;1;3;7;0
;54;1;3;8;0
;55;1;3;9;0
;56;1;3;10;0
;57;1;3;11;0
;58;1;3;12;0
;59;1;3;13;0
;60;1;3;14;0
;61;1;3;15;0
;62;1;3;16;0
;63;1;3;17;0
;64;1;3;18;0
;65;1;3;19;0
;66;1;3;20;0
;67;1;3;21;0
;68;1;3;22;0
;69;1;3;23;0
;70;1;4;1;0
;71;1;4;2;0
;72;1;4;3;0
;73;1;4;4;0
;74;1;4;5;0
;75;1;4;6;0
;76;1;4;7;0
;77;1;4;8;0
;78;1;4;9;0
;79;1;4;10;0
;80;1;4;11;0
;81;1;4;12;0
;82;1;4;13;0
;83;1;4;14;0
;84;1;4;15;0
;85;1;4;16;0
;86;1;4;17;0
;87;1;4;18;0
;88;1;4;19;0
;89;1;4;20;0
;90;1;4;21;0
;91;1;4;22;0
;92;1;4;23;0
;93;1;5;1;50
;94;1;5;2;50
;95;1;5;3;50
;96;1;5;4;0
;97;1;5;5;0
;98;1;5;6;0
;99;1;5;7;0
;100;1;5;8;50
;101;1;5;9;50
;102;1;5;10;20
;103;1;5;11;0
;104;1;5;12;0
;105;1;5;13;100
;106;1;5;14;100
;107;1;5;15;100
;108;1;5;16;0
;109;1;5;17;0
;110;1;5;18;0
;111;1;5;19;100
;112;1;5;20;0
;113;1;5;21;20
;114;1;5;22;20
;115;1;5;23;50
;116;1;6;1;50
;117;1;6;2;50
;118;1;6;3;50
;119;1;6;4;0
;120;1;6;5;0
;121;1;6;6;0
;122;1;6;7;0
;123;1;6;8;50
;124;1;6;9;50
;125;1;6;10;70
;126;1;6;11;0
;127;1;6;12;100
;128;1;6;13;70
;129;1;6;14;50
;130;1;6;15;50
;131;1;6;16;0
